n,standard, strassen_padding_16, strassen_padding_32, strassen_padding_64
8,0.000619,0.000959,0.000941,0.000946
12,0.001993,0.004639,0.005901,0.004613
16,0.004118,0.004471,0.004459,0.004447
24,0.011916,0.036742,0.029502,0.029522
32,0.027561,0.038786,0.030831,0.029948
48,0.091831,0.473607,0.403203,0.3119
64,0.327004,0.530984,0.433125,0.335343
96,0.904036,2.1197,1.91067,1.96882
128,1.60126,2.11872,1.88808,1.8578
192,4.99994,13.7359,11.9124,12.5754
256,11.5715,13.9429,11.825,12.6324
384,37.1395,92.8226,79.6525,81.5581
512,96.7543,93.1942,83.5164,86.9505
768,298.71,604.655,523.616,514.054
1024,733.048,598.258,524.483,512.462
1536,2405.59,4223.95,3776.04,3774.14
2048,6637.75,4245.69,3747.79,3677.53
